ID,Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Rating,Rating Info,Category,Open Hours,Website,Phone,Emails,Social Medias,Facebook,Instagram,Twitter
ypid:YN9A643EFFB299A377,Ethan Clark Air Conditioning,"1320 Rothwell St, Houston, TX 77002",https://www.bing.com/th?id=OLC.NWvMWatDq4z+9A480x360&pid=Local,https://www.bing.com/maps?cp=29.768672943115234%7E-95.35367584228516&lvl=17.0&q=Ethan%20Clark%20Air%20Conditioning%20%2C%201320%20Rothwell%20St%2C%20Houston%2C%20TX%2077002,29.768672943115234,-95.35367584228516,5,Yelp (11),HVAC services,Closed · Opens 08:00,http://www.ethanclark.com/,(713) 236-1119,,,,,
ypid:YNCBA4AA5770A43300,Texas Central Air,"724 Trinity St, Houston, TX 77007",https://www.bing.com/th?id=OLC.JBDX0WRNnECTcg480x360&pid=Local,https://www.bing.com/maps?cp=29.765668869018555%7E-95.37384796142578&lvl=17.0&q=Texas%20Central%20Air%20%2C%20724%20Trinity%20St%2C%20Houston%2C%20TX%2077007,29.765668869018555,-95.37384796142578,,,HVAC services,Closed · Opens 08:00,http://www.texascentralair.com/,(281) 727-0327,bailey.hanna@texascentralair.com,"{""facebook"":""https://facebook.com/texas-central-air-1404228806471928"",""twitter"":""https://twitter.com/hvactexas"",""youtube"":""https://youtube.com/user/uc_tpb0kcu27pqocg4gzuopq""}",https://facebook.com/texas-central-air-1404228806471928,,https://twitter.com/hvactexas
ypid:YN539AF40433A0F4BD,"Master AC and Heat, LLC- The Heights","2607 North Fwy, Houston, TX 77009",https://www.bing.com/th?id=OLC.TcCbfl5Wj2/BKQ480x360&pid=Local,https://www.bing.com/maps?cp=29.796472549438477%7E-95.37236022949219&lvl=17.0&q=Master%20AC%20and%20Heat%2C%20LLC-%20The%20Heights%20%2C%202607%20North%20Fwy%2C%20Houston%2C%20TX%2077009,29.796472549438477,-95.37236022949219,,,HVAC services,Open 24 hours,http://masteracandheat.com/,(713) 750-9769,,"{""yelp"":""https://www.yelp.com/biz/master-ac-and-heat-houston-12"",""facebook"":""https://www.facebook.com/masteracandheat/""}",https://www.facebook.com/masteracandheat/,,
ypid:YN34E5CB27A08524B2,Bodensteiner Service Inc,"3403 Houston Ave, Houston, TX 77009",,https://www.bing.com/maps?cp=29.78830337524414%7E-95.37244415283203&lvl=17.0&q=Bodensteiner%20Service%20Inc%20%2C%203403%20Houston%20Ave%2C%20Houston%2C%20TX%2077009,29.78830337524414,-95.37244415283203,5,Yelp (65),HVAC services,Closed · Opens tomorrow 08:00,https://www.bsiairhouston.com/,(713) 868-0050,"bsiairhtx@gmail.com,vendas@supracil.com.br,supracil@supracil.com.br,comercial@supracil.com.br","{""yelp"":""https://www.yelp.com/biz/bodensteiner-service-houston""}",,,
ypid:YNE7BF22709715C207,75 Degree AC- Houston,"4800 W 34th St #C50F, Houston, TX 77092",https://www.bing.com/th?id=OLC.yYQeLqoUGkhecw480x360&pid=Local,https://www.bing.com/maps?cp=29.820018768310547%7E-95.46040344238281&lvl=17.0&q=75%20Degree%20AC-%20Houston%20%2C%204800%20W%2034th%20St%20%23C50F%2C%20Houston%2C%20TX%2077092,29.820018768310547,-95.46040344238281,5,Yelp (3),HVAC services,Opens in 27 mins,https://75degreeac.com/,(713) 598-2737,"75degreeacservices@gmail.com,callie.marsalisi@thisoldhouse.com,info@75degreeac.com","{""facebook"":""https://web.facebook.com/75degreeacrepairhouston"",""twitter"":""https://x.com/75digreeac"",""youtube"":""https://www.youtube.com/@75degreeacrepairhouston"",""instagram"":""https://www.instagram.com/75degreeac"",""yelp"":""https://www.yelp.com/biz/75-degree-ac-houston"",""pinterest"":""https://www.pinterest.com/75degreeacrepair/""}",https://web.facebook.com/75degreeacrepairhouston,https://www.instagram.com/75degreeac,https://x.com/75digreeac
ypid:YN24E38C44072DAC15,68 Degrees HVAC,"Private Address in Oak Forest-Garden Oaks, TX",https://www.bing.com/th?id=OLC.8to3BzooXDk+tw480x360&pid=Local,https://www.bing.com/maps?cp=29.83607292175293%7E-95.46117401123047&lvl=17.0&q=68%20Degrees%20HVAC%20%2C%20Private%20Address%20in%20Oak%20Forest-Garden%20Oaks%2C%20TX,29.83607292175293,-95.46117401123047,,,HVAC services,Closed · Opens 08:00,https://68degreeshvac.com/,(713) 367-7985,name@cpsymbol.com,"{""facebook"":""https://www.facebook.com/stevegutterudhvac"",""instagram"":""https://www.instagram.com/stevegutterudhvac/""}",https://www.facebook.com/stevegutterudhvac,https://www.instagram.com/stevegutterudhvac/,
ypid:YN8B1A5F900678744A,Chimney Rock Service,"5933 Bellaire Blvd Ste 104, Houston, TX 77081",https://www.bing.com/th?id=OLC.z7PUquw1lDSv+A480x360&pid=Local,https://www.bing.com/maps?cp=29.704330444335938%7E-95.48565673828125&lvl=17.0&q=Chimney%20Rock%20Service%20%2C%205933%20Bellaire%20Blvd%20Ste%20104%2C%20Houston%2C%20TX%2077081,29.704330444335938,-95.48565673828125,4,Yelp (5),HVAC services,Closed · Opens 07:30,https://chimneyrockac.com/,(713) 782-0789,"brian@chimneyrockac.com,tourtaste@chimneyrock.com",,,,
ypid:YN86106322BF034B0F,One Hour Air Conditioning & Heating® of Houston,"4455 W Sam Houston Pkwy N, Houston, TX 77041",https://www.bing.com/th?id=OLC.5Ft/DHiLRFbrQA480x360&pid=Local,https://www.bing.com/maps?cp=29.834476470947266%7E-95.56544494628906&lvl=17.0&q=One%20Hour%20Air%20Conditioning%20%26%20Heating%C2%AE%20of%20Houston%20%2C%204455%20W%20Sam%20Houston%20Pkwy%20N%2C%20Houston%2C%20TX%2077041,29.834476470947266,-95.56544494628906,2.5,Yelp (219),HVAC services,Open 24 hours,https://www.onehourheatandair.com/houston/,(281) 407-9754,"privacy@authoritybrandsllc.com,CCPA@onehour.com,bgca.info@authoritybrandsllc.com,privacyofficer@AuthorityBrands.co","{""facebook"":""https://www.facebook.com/onehournwfl"",""yelp"":""https://www.yelp.com/biz/cullins-one-hour-heating-and-air-conditioning-lewis-center"",""twitter"":""https://twitter.com/onehourheatair"",""instagram"":""https://www.instagram.com/onehourheatair/?hl=en"",""pinterest"":""https://www.pinterest.com/onehourheatair/boards/"",""youtube"":""https://www.youtube.com/watch?v=kwriohgp4i0""}",https://www.facebook.com/onehournwfl,https://www.instagram.com/onehourheatair/?hl=en,https://twitter.com/onehourheatair
ypid:YNBBE1857DFDDD65F0,Texas Central Air,"3913 Artdale St, Houston, TX 77063",https://www.bing.com/th?id=OLC.+3oTBIQlHLFc4Q480x360&pid=Local,https://www.bing.com/maps?cp=29.72205924987793%7E-95.53007507324219&lvl=17.0&q=Texas%20Central%20Air%20%2C%203913%20Artdale%20St%2C%20Houston%2C%20TX%2077063,29.72205924987793,-95.53007507324219,,,HVAC services,Closed · Opens 08:00,http://www.texascentralair.com/,(281) 727-0327,bailey.hanna@texascentralair.com,"{""facebook"":""https://facebook.com/texas-central-air-1404228806471928"",""twitter"":""https://twitter.com/hvactexas"",""youtube"":""https://youtube.com/user/uc_tpb0kcu27pqocg4gzuopq""}",https://facebook.com/texas-central-air-1404228806471928,,https://twitter.com/hvactexas
ypid:YN288FE5283F00A8FE,Air Dynasty AC & Heating LLC,"5502 Northington St, Houston, TX 77039",https://www.bing.com/th?id=OLC.pWjX0WR/QoG9kw480x360&pid=Local,https://www.bing.com/maps?cp=29.893373489379883%7E-95.3095703125&lvl=17.0&q=Air%20Dynasty%20AC%20%26%20Heating%20LLC%20%2C%205502%20Northington%20St%2C%20Houston%2C%20TX%2077039,29.893373489379883,-95.3095703125,1.5,Yelp (124),HVAC services,Closed · Opens 08:00,https://airdynastyac.com/?se_campaign=GBP,(281) 227-5858,"service@airdynastyac.com,terithisnthat@yahoo.com","{""youtube"":""https://www.youtube.com/@airdynastytx"",""facebook"":""https://www.facebook.com/airdynastyacandheating/"",""twitter"":""https://x.com/airdynasty23"",""linkedin"":""https://www.linkedin.com/company/air-dynasty-ac-heating-llc/"",""instagram"":""https://www.instagram.com/airdynastyllc/""}",https://www.facebook.com/airdynastyacandheating/,https://www.instagram.com/airdynastyllc/,https://x.com/airdynasty23
